cement,slag,fly_ash,water,superplasticizer,coarse_agg,fine_agg,age,strength,w_c_ratio,binder,w_b_ratio
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91,0.8571428571428571,380.0,0.6
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72,0.9667673716012085,331.0,0.5800604229607251
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13,0.48,475.0,0.48
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69,1.2,380.0,0.6
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41,0.96,475.0,0.48
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08,0.96,475.0,0.48
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72,0.6857142857142857,475.0,0.48
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23,0.48,475.0,0.48
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25,0.96,475.0,0.48
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46,0.6666666666666666,380.0,0.6
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.7,0.5333333333333333,475.0,0.48
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0,0.96,475.0,0.48
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1,0.6,380.0,0.6
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54,0.5333333333333333,475.0,0.48
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.08,0.5333333333333333,475.0,0.48
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05,0.5501432664756447,349.0,0.5501432664756447
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76,0.6,475.0,0.48
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26,0.96,475.0,0.48
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82,0.6,475.0,0.48
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78,0.6857142857142857,475.0,0.48
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93,1.2,380.0,0.6
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.12,0.96,475.0,0.48
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19,0.75,380.0,0.6
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59,1.3753581661891119,349.0,0.5501432664756447
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.64,0.9667673716012085,331.0,0.5800604229607251
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.93,0.48,475.0,0.48
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13,0.9667673716012085,331.0,0.5800604229607251
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.95,0.75,380.0,0.6
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.02,0.6857142857142857,475.0,0.48
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38,0.75,380.0,0.6
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73,0.8571428571428571,380.0,0.6
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87,0.6193548387096774,310.0,0.6193548387096774
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66,1.2,380.0,0.6
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,48.7,0.8571428571428571,380.0,0.6
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.06,0.6666666666666666,380.0,0.6
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7,1.3753581661891119,349.0,0.5501432664756447
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.28,0.6857142857142857,475.0,0.48
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.86,1.2,380.0,0.6
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.99,0.30103092783505153,485.0,0.30103092783505153
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4,0.4548128342245989,563.2,0.3020241477272727
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.8,0.5601659751037344,575.5,0.3049522154648132
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,0.3611764705882353,531.3,0.2889139845661585
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3,0.3562352941176471,531.3,0.284961415396198
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0,0.3376,468.8,0.27005119453924914
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.8,0.3812631578947368,593.8,0.30498484338160997
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.2,0.293816631130064,586.2,0.23507335380416242
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1,0.40633041688111166,485.70000000000005,0.32509779699402924
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,41.3,0.26689252776209305,531.3,0.26689252776209305
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2,0.4883939774153073,531.3,0.2930547713156409
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,41.1,0.3668491786958686,496.5,0.29687814702920445
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,0.4547710976282405,551.6,0.2989485134155185
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.3,0.5678097003398209,606.5,0.30305028854080795
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,28.6,0.40553359683794465,530.7,0.2899943470887507
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,24.4,0.505413901501921,487.20000000000005,0.2970032840722495
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.3,0.42369020501138954,616.0,0.30194805194805197
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6,0.37419851243908697,578.9,0.25202971152185183
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1,0.5176087599881622,526.9,0.33194154488517746
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7,46.2,0.4548128342245989,563.2,0.3020241477272727
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.8,0.5601659751037344,575.5,0.3049522154648132
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2,0.3611764705882353,531.3,0.2889139845661585
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.8,0.3562352941176471,531.3,0.284961415396198
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,45.7,0.3376,468.8,0.27005119453924914
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7,55.6,0.3812631578947368,593.8,0.30498484338160997
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,54.9,0.293816631130064,586.2,0.23507335380416242
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7,34.9,0.40633041688111166,485.70000000000005,0.32509779699402924
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7,46.9,0.26689252776209305,531.3,0.26689252776209305
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4,0.4883939774153073,531.3,0.2930547713156409
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,54.1,0.3668491786958686,496.5,0.29687814702920445
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,0.4547710976282405,551.6,0.2989485134155185
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8,0.5678097003398209,606.5,0.30305028854080795
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7,47.1,0.40553359683794465,530.7,0.2899943470887507
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,38.0,0.505413901501921,487.20000000000005,0.2970032840722495
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,56.1,0.42369020501138954,616.0,0.30194805194805197
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7,59.09,0.37419851243908697,578.9,0.25202971152185183
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,22.9,0.4547710976282405,551.6,0.2989485134155185
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,35.1,0.5176087599881622,526.9,0.33194154488517746
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09,0.4548128342245989,563.2,0.3020241477272727
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28,59.8,0.5601659751037344,575.5,0.3049522154648132
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29,0.3611764705882353,531.3,0.2889139845661585
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28,61.8,0.3562352941176471,531.3,0.284961415396198
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28,56.7,0.3376,468.8,0.27005119453924914
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,68.3,0.3812631578947368,593.8,0.30498484338160997
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,66.9,0.293816631130064,586.2,0.23507335380416242
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7,0.40633041688111166,485.70000000000005,0.32509779699402924
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,56.4,0.26689252776209305,531.3,0.26689252776209305
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.5,0.4883939774153073,531.3,0.2930547713156409
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,68.5,0.3668491786958686,496.5,0.29687814702920445
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,0.4547710976282405,551.6,0.2989485134155185
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.7,0.5678097003398209,606.5,0.30305028854080795
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28,52.2,0.40553359683794465,530.7,0.2899943470887507
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,67.7,0.505413901501921,487.20000000000005,0.2970032840722495
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,66.0,0.42369020501138954,616.0,0.30194805194805197
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.5,0.37419851243908697,578.9,0.25202971152185183
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.9,0.5176087599881622,526.9,0.33194154488517746
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,63.4,0.4548128342245989,563.2,0.3020241477272727
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56,64.9,0.5601659751037344,575.5,0.3049522154648132
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3,0.3611764705882353,531.3,0.2889139845661585
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,64.9,0.3562352941176471,531.3,0.284961415396198
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56,60.2,0.3376,468.8,0.27005119453924914
475.0,118.8,0.0,181.1,8.9,852.1,781.5,56,72.3,0.3812631578947368,593.8,0.30498484338160997
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,69.3,0.293816631130064,586.2,0.23507335380416242
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,55.2,0.40633041688111166,485.70000000000005,0.32509779699402924
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,58.8,0.26689252776209305,531.3,0.26689252776209305
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56,66.1,0.4883939774153073,531.3,0.2930547713156409
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56,73.7,0.3668491786958686,496.5,0.29687814702920445
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3,0.4547710976282405,551.6,0.2989485134155185
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,80.2,0.5678097003398209,606.5,0.30305028854080795
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.9,0.40553359683794465,530.7,0.2899943470887507
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,72.99,0.505413901501921,487.20000000000005,0.2970032840722495
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.7,0.42369020501138954,616.0,0.30194805194805197
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,79.4,0.37419851243908697,578.9,0.25202971152185183
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,59.89,0.5176087599881622,526.9,0.33194154488517746
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.9,0.4548128342245989,563.2,0.3020241477272727
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91,66.6,0.5601659751037344,575.5,0.3049522154648132
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2,0.3611764705882353,531.3,0.2889139845661585
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,66.7,0.3562352941176471,531.3,0.284961415396198
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5,0.3376,468.8,0.27005119453924914
475.0,118.8,0.0,181.1,8.9,852.1,781.5,91,74.19,0.3812631578947368,593.8,0.30498484338160997
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91,70.7,0.293816631130064,586.2,0.23507335380416242
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,57.6,0.40633041688111166,485.70000000000005,0.32509779699402924
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,59.2,0.26689252776209305,531.3,0.26689252776209305
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1,0.4883939774153073,531.3,0.2930547713156409
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,75.5,0.3668491786958686,496.5,0.29687814702920445
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,0.4547710976282405,551.6,0.2989485134155185
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,56.5,0.40553359683794465,530.7,0.2899943470887507
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.8,0.505413901501921,487.20000000000005,0.2970032840722495
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,73.3,0.42369020501138954,616.0,0.30194805194805197
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.6,0.37419851243908697,578.9,0.25202971152185183
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91,67.8,0.5176087599881622,526.9,0.33194154488517746
222.4,0.0,96.7,189.3,4.5,967.1,870.3,3,11.58,0.8511690647482014,319.1,0.5932309620808524
222.4,0.0,96.7,189.3,4.5,967.1,870.3,14,24.45,0.8511690647482014,319.1,0.5932309620808524
222.4,0.0,96.7,189.3,4.5,967.1,870.3,28,24.89,0.8511690647482014,319.1,0.5932309620808524
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45,0.8511690647482014,319.1,0.5932309620808524
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100,40.71,0.8511690647482014,319.1,0.5932309620808524
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3,10.38,0.8464499572284003,328.4,0.6026187576126676
233.8,0.0,94.6,197.9,4.6,947.0,852.2,14,22.14,0.8464499572284003,328.4,0.6026187576126676
233.8,0.0,94.6,197.9,4.6,947.0,852.2,28,22.84,0.8464499572284003,328.4,0.6026187576126676
233.8,0.0,94.6,197.9,4.6,947.0,852.2,56,27.66,0.8464499572284003,328.4,0.6026187576126676
233.8,0.0,94.6,197.9,4.6,947.0,852.2,100,34.56,0.8464499572284003,328.4,0.6026187576126676
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,3,12.45,0.8505392912172574,295.2,0.5609756097560976
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14,24.99,0.8505392912172574,295.2,0.5609756097560976
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,28,25.72,0.8505392912172574,295.2,0.5609756097560976
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,56,33.96,0.8505392912172574,295.2,0.5609756097560976
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100,37.34,0.8505392912172574,295.2,0.5609756097560976
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04,0.8500262191924489,316.1,0.51281240113888
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,14,21.06,0.8500262191924489,316.1,0.51281240113888
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,28,26.4,0.8500262191924489,316.1,0.51281240113888
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56,35.34,0.8500262191924489,316.1,0.51281240113888
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,100,40.57,0.8500262191924489,316.1,0.51281240113888
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47,0.8500707213578501,333.7,0.5403056637698532
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92,0.8500707213578501,333.7,0.5403056637698532
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,28,24.9,0.8500707213578501,333.7,0.5403056637698532
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56,34.2,0.8500707213578501,333.7,0.5403056637698532
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100,39.61,0.8500707213578501,333.7,0.5403056637698532
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3,10.03,0.85,348.3,0.5612977318403675
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,14,20.08,0.85,348.3,0.5612977318403675
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28,24.48,0.85,348.3,0.5612977318403675
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56,31.54,0.85,348.3,0.5612977318403675
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100,35.34,0.85,348.3,0.5612977318403675
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3,9.45,0.8507619548081976,315.5,0.5131537242472266
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,14,22.72,0.8507619548081976,315.5,0.5131537242472266
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,28.47,0.8507619548081976,315.5,0.5131537242472266
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,56,38.56,0.8507619548081976,315.5,0.5131537242472266
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100,40.39,0.8507619548081976,315.5,0.5131537242472266
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3,10.76,1.062612883804937,329.4,0.5358227079538556
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,14,25.48,1.062612883804937,329.4,0.5358227079538556
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,21.54,1.062612883804937,329.4,0.5358227079538556
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,56,28.63,1.062612883804937,329.4,0.5358227079538556
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100,33.54,1.062612883804937,329.4,0.5358227079538556
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75,0.725,373.9,0.32575554961219577
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82,0.725,373.9,0.32575554961219577
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24,0.725,373.9,0.32575554961219577
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85,0.725,373.9,0.32575554961219577
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23,0.725,373.9,0.32575554961219577
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18.0,0.8502573701450632,336.29999999999995,0.5402914064823076
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39,0.8502573701450632,336.29999999999995,0.5402914064823076
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71,0.8502573701450632,336.29999999999995,0.5402914064823076
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77,0.8502573701450632,336.29999999999995,0.5402914064823076
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9,0.8502573701450632,336.29999999999995,0.5402914064823076
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,3,13.18,0.8498596819457436,336.4,0.5401307966706302
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,14,17.84,0.8498596819457436,336.4,0.5401307966706302
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28,40.23,0.8498596819457436,336.4,0.5401307966706302
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,56,47.13,0.8498596819457436,336.4,0.5401307966706302
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100,49.97,0.8498596819457436,336.4,0.5401307966706302
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3,13.36,0.8498040922942969,347.9,0.5610807703363035
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14,22.32,0.8498040922942969,347.9,0.5610807703363035
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28,24.54,0.8498040922942969,347.9,0.5610807703363035
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35,0.8498040922942969,347.9,0.5610807703363035
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,100,40.86,0.8498040922942969,347.9,0.5610807703363035
238.1,0.0,94.1,186.7,7.0,949.9,847.0,3,19.93,0.7841243175136497,332.2,0.5620108368452739
238.1,0.0,94.1,186.7,7.0,949.9,847.0,14,25.69,0.7841243175136497,332.2,0.5620108368452739
238.1,0.0,94.1,186.7,7.0,949.9,847.0,28,30.23,0.7841243175136497,332.2,0.5620108368452739
238.1,0.0,94.1,186.7,7.0,949.9,847.0,56,39.59,0.7841243175136497,332.2,0.5620108368452739
238.1,0.0,94.1,186.7,7.0,949.9,847.0,100,44.3,0.7841243175136497,332.2,0.5620108368452739
250.0,0.0,95.7,187.4,5.5,956.9,861.2,3,13.82,0.7496,345.7,0.5420885160543825
250.0,0.0,95.7,187.4,5.5,956.9,861.2,14,24.92,0.7496,345.7,0.5420885160543825
250.0,0.0,95.7,187.4,5.5,956.9,861.2,28,29.22,0.7496,345.7,0.5420885160543825
250.0,0.0,95.7,187.4,5.5,956.9,861.2,56,38.33,0.7496,345.7,0.5420885160543825
250.0,0.0,95.7,187.4,5.5,956.9,861.2,100,42.35,0.7496,345.7,0.5420885160543825
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,3,13.54,0.7496470588235294,312.9,0.5091083413231065
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14,26.31,0.7496470588235294,312.9,0.5091083413231065
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,28,31.64,0.7496470588235294,312.9,0.5091083413231065
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,56,42.55,0.7496470588235294,312.9,0.5091083413231065
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,100,42.92,0.7496470588235294,312.9,0.5091083413231065
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3,13.33,0.7497648165569144,313.0,0.5092651757188499
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,14,25.37,0.7497648165569144,313.0,0.5092651757188499
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,28,37.4,0.7497648165569144,313.0,0.5092651757188499
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,56,44.4,0.7497648165569144,313.0,0.5092651757188499
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,100,47.74,0.7497648165569144,313.0,0.5092651757188499
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,3,19.52,0.75,336.8,0.4720902612826603
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14,31.35,0.75,336.8,0.4720902612826603
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,28,38.5,0.75,336.8,0.4720902612826603
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,56,45.08,0.75,336.8,0.4720902612826603
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,100,47.82,0.75,336.8,0.4720902612826603
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,3,15.44,0.7506471095772217,353.4,0.49235993208828527
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14,26.77,0.7506471095772217,353.4,0.49235993208828527
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28,33.73,0.7506471095772217,353.4,0.49235993208828527
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,56,42.7,0.7506471095772217,353.4,0.49235993208828527
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100,45.84,0.7506471095772217,353.4,0.49235993208828527
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,3,17.22,0.7498011137629276,369.7,0.5098728698945091
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,14,29.93,0.7498011137629276,369.7,0.5098728698945091
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,28,29.65,0.7498011137629276,369.7,0.5098728698945091
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56,36.97,0.7498011137629276,369.7,0.5098728698945091
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,100,43.58,0.7498011137629276,369.7,0.5098728698945091
